Price_Total,Area,Price_Meter,Rooms,Floor_Live,Floor_Total,Zone,Neighborhood,Distance,Time
127560000,106.3,1200000,3,21,21,ЦАО,Басманный район,0.0,5.0
127350000,157.4,809085,4,14,21,ЦАО,Пресненский район,4.7,11.0
127110000,131.6,965881,3,19,23,ЦАО,Пресненский район,4.8,11.0
126820000,144.9,875224,4,20,23,ЦАО,Пресненский район,4.7,11.0
126820000,162.0,782840,4,10,23,ЦАО,Пресненский район,4.8,11.0
126720000,161.7,783673,4,17,21,ЦАО,Пресненский район,4.6,11.0
126640000,144.0,879444,4,13,23,ЦАО,Пресненский район,4.7,11.0
126570000,161.5,783715,4,17,21,ЦАО,Пресненский район,4.6,11.0
126364000,131.8,958756,3,2,18,ЦАО,Хамовники,4.0,17.0
126020000,157.4,800635,4,13,21,ЦАО,Пресненский район,4.7,11.0
125998000,105.1,1198839,3,12,18,ЦАО,Хамовники,2.0,18.0
125460000,144.9,865839,4,19,23,ЦАО,Пресненский район,4.7,11.0
125450000,146.9,853982,4,15,21,ЦАО,Пресненский район,4.6,11.0
125402000,162.6,771230,4,21,23,СВАО,Ростокино,9.5,12.0
125165706,158.5,789689,4,22,24,ЮАО,Даниловский район,0.0,11.0
125100000,131.6,950608,3,18,23,ЦАО,Пресненский район,4.8,11.0
124876564,129.7,962811,2,6,13,ЦАО,Арбат,0.0,10.0
124870000,157.8,791318,4,12,21,ЦАО,Пресненский район,4.7,11.0
124870000,140.9,886231,4,16,21,ЦАО,Пресненский район,4.6,11.0
124800000,161.7,771800,4,16,21,ЦАО,Пресненский район,4.6,11.0
124650000,161.5,771827,4,16,21,ЦАО,Пресненский район,4.6,11.0
124583631,116.7,1067646,3,6,13,ЗАО,Дорогомилово,7.0,15.0
124423451,158.5,785006,4,20,24,ЮАО,Даниловский район,0.0,11.0
124072200,98.5,1260000,2,6,9,ЦАО,Якиманка,0.0,5.0
123808826,157.6,785589,4,21,24,ЮАО,Даниловский район,0.0,11.0
123750000,144.9,854037,4,18,23,ЦАО,Пресненский район,4.7,11.0
123592600,391.0,316094,6,16,18,СЗАО,Щукино,9.7,8.0
123520000,168.5,733056,3,14,14,ЗАО,Раменки,9.0,22.0
123400000,157.8,782003,4,11,21,ЦАО,Пресненский район,4.7,11.0
123110000,144.3,853153,4,17,23,ЦАО,Пресненский район,4.8,11.0
122970000,146.9,837100,4,14,21,ЦАО,Пресненский район,4.6,11.0
122890000,161.7,759988,4,15,21,ЦАО,Пресненский район,4.6,11.0
122848000,110.8,1108736,1,4,18,ЦАО,Хамовники,3.0,19.0
122740000,161.5,760000,4,15,21,ЦАО,Пресненский район,4.6,11.0
122740000,138.5,886209,4,20,21,ЦАО,Пресненский район,4.7,11.0
122660000,171.3,716054,3,14,14,ЗАО,Раменки,9.0,22.0
122190000,170.6,716279,4,25,27,СВАО,Марфино,7.5,14.0
122100280,164.6,741800,3,7,7,СЗАО,Покровское-Стрешнево,1.0,13.0
121910000,157.6,773541,4,10,21,ЦАО,Пресненский район,4.7,11.0
